equipamento,endereco,tipo_posto,id_tipo_posto,id_distrito,distrito,id_crs,crs,data_hora,indice_fila,status_fila,coronavac,astrazeneca,pfizer,intercambialidade,janssen,influenza,pfizer_ped,corona_ped,id_tb_unidades
AMA/UBS INTEGRADA FAZENDA DO CARMO,"R. FRANCISCO CARDOSO JR., 10 - CIDADE TIRADENTES - CEP: 08421-105 - Tel: 4780-5109/ 2556-7600",POSTO FIXO,1,14,Cidade Tiradentes,2,LESTE,2022-08-22 16:00:27.450,4,FILA GRANDE,1,1,1,0,0,1,1,1,37
AMA/UBS INTEGRADA JARDIM LADEIRA ROSA,"R. JOSÉ DA COSTA GAVIÃO, 150 - BRASILÂNDIA - CEP: 02872- 000 - Tel: 3851-8818/ 3982-6380",POSTO FIXO,1,40,Brasilândia,3,NORTE,2022-08-22 15:50:34.580,4,FILA GRANDE,1,1,1,1,1,1,1,1,194
UBS VILA DIONISIA,"R. CHEN FERRAZ FALCÃO, 50 - VL DIONISIA - CEP: 02670-040 - Tel: 3984-9329/ 3851-7483",POSTO FIXO,1,41,Cachoeirinha,3,NORTE,2022-08-22 16:15:16.897,4,FILA GRANDE,1,1,1,1,1,1,1,1,208
AMA/UBS INTEGRADA VILA PREL - PROF. ANTONIO BERNARDES DE OLIVEIRA,"R. TEREZA MAIA PINTO, 11 - VL PREL - CEP: 05780-390 - Tel: 5816-5563",POSTO FIXO,1,72,Campo Limpo,5,SUL,2022-08-22 17:55:47.293,4,FILA GRANDE,1,1,1,0,1,1,1,1,411
AMA/UBS INTEGRADA VILA IMPÉRIO,"R. CATARINA GABRIELLI, 236 - AMERICANÓPOLIS - CEP: 04408- 090 - Tel: 5624-6554/ 5622-3899",POSTO FIXO,1,74,Cidade Ademar,5,SUL,2022-08-22 15:49:38.060,4,FILA GRANDE,1,1,1,0,1,1,1,1,336
UBS VILA NATAL,"AV. PROFª. MARTA MARIA BERNARDES, 246 - VILA NATAL - CEP: 04863-000 - Tel: 5527-4071",POSTO FIXO,1,77,Grajaú,5,SUL,2022-08-22 16:00:40.873,4,FILA GRANDE,1,1,1,0,1,1,1,1,374
UBS HUMAITÁ - DR. JOÃO DE AZEVEDO LAGE,"R. HUMAITÁ, 520 - BELA VISTA - CEP: 01321-010 - Tel: 3241- 1632/ 3241-1163",POSTO FIXO,1,1,Bela Vista,1,CENTRO,2022-08-22 17:56:43.753,3,FILA MÉDIA,,1,1,0,1,1,1,1,1
UBS JARDIM MARILIA,"R. ELZA DOS ANJOS NEVES, 100 - CIDADE LIDER - CEP: 03585- 100 - Tel: 2743-9526/ 2746-3008",POSTO FIXO,1,13,Cidade Líder,2,LESTE,2022-08-22 16:01:04.953,3,FILA MÉDIA,1,1,1,0,0,1,1,1,34
AMA PRES JUSCELINO KUBITSCHEK,AV UTARO KANAI FONE: (11)25554474,POSTO FIXO,1,16,Guaianases,2,LESTE,2022-08-22 15:56:05.143,3,FILA MÉDIA,1,1,1,1,0,1,1,1,493
AMA/UBS INTEGRADA JARDIM DAS LARANJEIRAS,"R. BENTO GUELFI, 1100 - JD DA LARANJEIRAS - CEP: 08381-001 - Tel: 2731-7252",POSTO FIXO,1,17,Iguatemi,2,LESTE,2022-08-22 16:00:06.307,3,FILA MÉDIA,1,1,1,0,0,1,1,1,61
